title,abstract,bodytext
Relations of parameters for describing the epidemic of COVID-19 by the Kermack-McKendrick model,"In order to quantitatively characterize the epidemic of COVID-19, useful relations among parameters describing an epidemic in general are derived based on the Kermack-McKendrick model. The first relation is 1/τ grow =1/τ trans −1/τ inf , where τ grow is the time constant of the exponential growth of an epidemic, τ trans is the time for a pathogen to be transmitted from one patient to uninfected person, and the infectious time τ inf is the time during which the pathogen keeps its power of transmission. The second relation p(∞ ) ≈ 1− exp(− (R 0 − 1)/0.60) is the relation between p(∞ ), the final size of the disaster defined by the ratio of the total infected people to the population of the society, and the basic reproduction number, R 0 , which is the number of persons infected by the transmission of the pathogen from one infected person during the infectious time. The third relation 1/τ end =","We reported the understanding of the present status and forecasting of pneumonia by in China which is supposed to have originated in Wuhan by analyzing the data up to February 11 (ref.1). In ref. 1 , we clarified that the behavior of the epidemic was different in different regions and that the outbreak was well described by a Gaussian as was for influenza in Japan. We reported the following; 1. the epidemic in China passed the peak in the beginning of February, 2. the date of the epidemic peak was different by region and was the latest in Wuhan. For more than 10 days after our forecast, the epidemic closely followed our forecast. The new patients outside Wuhan decreased to less than 4 % of that at the peak around February 5."
Title: Integrated Disease Surveillance and Response (IDSR) in Malawi: Implementation Gaps and Challenges for Timely Alert Submit journal: PLoS ONE,Objective: The emerging and recent 2014 Ebola Virus Disease (EVD) outbreaks rang the bell to call upon efforts from globe to assist resource-constrained countries to strengthen public health surveillance system for early response. Malawi adopted the Integrated Disease Surveillance and Response (IDSR) strategy to develop its national surveillance system since 2002 and revised its guideline to fulfill the International Health Regulation (IHR) requirements in 2014. This study aimed to understand the state of IDSR implementation and differences between guideline and practice for future disease surveillance system strengthening.,"After the largest Ebola Viral Disease (EVD) outbreak happened in Western Africa, governments, health authorities in Africa and the world learnt a valuable lesson from the challenges of diseases surveillance systems implementations in countries with limited public health infrastructure [1, 2] ."
A Multiscale and Comparative Model for Receptor Binding of 2019 Novel Coronavirus and the Implication of its Life Cycle in Host Cells,"The respiratory syndrome caused by a new type of coronavirus has been emerging from 2 China and caused more than 1000 death globally since December 2019. This new virus, 3 called 2019 novel coronavirus (2019-nCoV) uses the same receptor called Angiotensin-4 converting enzyme 2 (ACE2) to attack humans as the coronavirus that caused the severe 5 acute respiratory syndrome (SARS) seventeen years ago. Both viruses recognize ACE2 6 through the spike proteins (S-protein) on their surfaces. It was found that the S-protein 7 from the SARS coronavirus (SARS-CoV) bind stronger to ACE2 than 2019-nCoV. 8 However, function of a bio-system is often under kinetic, rather than thermodynamic, 9 control. To address this issue, we constructed a structural model for complex formed 10 between ACE2 and the S-protein from 2019-nCoV, so that the rate of their association 11 can be estimated and compared with the binding of S-protein from SARS-CoV by a 12 multiscale simulation method. Our simulation results suggest that the association of new 13 virus to the receptor is slower than SARS, which is consistent with the experimental data 14 obtained very recently. We further integrated this difference of association rate between 15 virus and receptor into a mathematical model which describes the life cycle of virus in 16 host cells and its interplay with the innate immune system. Interestingly, we found that 17 the slower association between virus and receptor can result in longer incubation period, 18 while still maintaining a relatively higher level of viral concentration in human body. Our 19 computational study therefore provides, from the molecular level, one possible 20 explanation that the new disease by far spread much faster than SARS. 21 22 23 24 25 26 27 author/funder. All rights reserved. No reuse allowed without permission.","The coronavirus disease 2019 has emerged at the end of year 2019 2 from Wuhan, a city in China, as a new infectious disease [1, 2] . It has been found that the replicated RNA genome and synthesized viral proteins are finally assembled together into 10 new viruses, before they escape and attack other cells [7, 8] . As a result, the infections of 11 2019-nCoV normally come with the similar symptoms as SARS, including fever, 12 respiratory difficulty and pneumonia [9, 10] . Different from SARS, however, the new 13 COVID-19 seems to have longer incubation period and thus is more contagious [11] . The 14 disease has caused more than 70,000 confirmed cases with at least 1000 death globally, 15 according to the data from the World Health Organization (WHO) on February 16 th 2020. 16 Therefore, the development of vaccine or therapeutic treatment for this ongoing public 17 health crisis is highly demanding [12, 13] . 18 Almost all the coronaviruses recognize their host cells through spike (S) proteins 19 [14, 15] . S-protein is a glycoprotein expressed on the surface of viral envelop as homo-20 trimers [16] . Each S-protein further consists of two subunits. The S1 subunit includes a 21 region called receptor-binding domain (RBD) which is used to target receptors in host 22 cells, while the S2 subunit regulates the membrane fusion between virus and host cells 23 [17] . These roles of S protein suggest that it could be a key target for vaccine and 24 therapeutics developed to neutralize virus infection by blocking their invasion [18] . 25 Moreover, it has been confirmed in a recent report that the new virus 2019-nCoV uses the 26 same cell entry receptor ACE2 as SARS coronavirus [19] . The atomic structures of 27 complex between human ACE2 and the RBD regions from S-protein of SARS-CoV have 28 been obtained by x-ray crystallography [17] . It was also shown that the sequence of S-29 protein from SARS-CoV shares more than 70% identity with the S-protein from 2019-30 author/funder. All rights reserved. No reuse allowed without permission."
Effect of non-pharmaceutical interventions for containing the COVID-19 outbreak: an observational and modelling study,The COVID-19 outbreak containment strategies in China based on non-pharmaceutical interventions (NPIs) appear to be effective. Quantitative research is still needed however to assess the efficacy of different candidate NPIs and their timings to guide ongoing and future responses to epidemics of this emerging disease across the World.,"could have shown a 3-fold, 7-fold, and 18-fold increase across China, respectively. Results also suggest that the social distancing intervention should be continued for the next few months in China to prevent case numbers increasing again after travel restrictions were lifted on February 17, 2020."
Title: ACP risk grade: a simple mortality index for patients with confirmed or suspected severe acute respiratory syndrome coronavirus 2 disease (COVID-19) during the early stage of outbreak in Wuhan,Since the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) disease,"Background: Since the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) disease (COVID-19) outbreaks in Wuhan, China, healthcare systems capacities in highly endemic areas have been overwhelmed. Approaches to efficient management are urgently needed and key to a quicker control of the outbreaks and casualties. We aimed to characterize the clinical features of hospitalized patients with confirmed or suspected COVID-19, and develop a mortality risk index for COVID-19 patients."
ZODIAC: database-independent molecular formula annotation using Gibbs sampling reveals unknown small molecules,"The condent high-throughput identication of small molecules remains one of the most challenging tasks in mass spectrometry-based metabolomics. SIRIUS has become a powerful tool for the interpretation of tandem mass spectra, and shows outstanding performance for identifying the molecular formula of a query compound, being the rst step of structure identication. Nevertheless, the identication of both molecular formulas for large compounds above 500 Daltons and novel molecular formulas remains highly challenging. Here, we present ZODIAC, a network-based algorithm for the de novo estimation of molecular formulas. ZODIAC reranks SIRIUS' molecular formula candidates, combining fragmentation tree computation with Bayesian statistics using Gibbs sampling. Through careful algorithm engineering, ZODIAC's Gibbs sampling is very swift in practice. ZODIAC decreases incorrect annotations 16.2-fold on a challenging plant extract dataset with most compounds above 700 Dalton; we then show improvements on four additional, diverse datasets. Our analysis led to the discovery of compounds with novel molecular formulas such as C 24 H 47 BrNO 8 P which, as of today, is not present in any publicly available molecular structure databases.","For all ve datasets, we observe that ZODIAC outperforms SIRIUS, often substantially decreasing molecular formula annotation error rates (Fig. 1, left) . We rst consider the dendroides dataset, for which improvements are most distinctive: This dataset contains many larger compounds, and 75 % of the ground truth compounds have an m/z of 605 or higher ( Supplementary Fig. 6 )."
Correlation Analysis Between Disease Severity and Inflammation-related Parameters in Patients with COVID-19 Pneumonia,"Aim: The new coronavirus pneumonia outbreaking at the end of 2019 is highly contagious. Crude mortality rate reached 49% in critical patients. Inflammation matters on disease progression. This study analyzed blood inflammation indicators among mild, severe and critical patients, helping to identify severe or critical patients early.",Critical patients should have any of the following conditions:
Stochastic discrete epidemic modeling of COVID-19 transmission in the Province of Shaanxi incorporating public health intervention and case importation,"Before the lock-down of Wuhan/Hubei/China, on January 23 rd 2020, a large number of individuals infected by COVID-19 moved from the epicenter Wuhan and the Hubei province due to the Spring Festival, resulting in an epidemic in the other provinces including the Shaanxi province. The epidemic scale in Shaanxi was comparatively small and with half of cases being imported from the epicenter. Based on the complete epidemic data including the symptom onset time and transmission chains, we calculate the control reproduction number (1.48-1.69) in Xi'an. We could also compute the time transition, for each imported or local case, from the latent, to infected, to hospitalized compartment, as well as the effective reproduction number. This calculation enables us to revise our early deterministic transmission model to a stochastic discrete epidemic model with case importation and parameterize it. Our model-based analyses reveal that the newly generated infections decay to zero quickly; the cumulative number of case-driven quarantined individuals via contact tracing stabilize at a manageable level, indicating that the intervention strategies implemented in the Shaanxi province have been effective. Risk analyses, important for the consideration of ""resumption of work"", show that a large second outbreak is expected if the level of case importation remains at the same level as between January 10 th and February 4 th 2020. However, if the case importation decreases by 30%, 60% and 90%, the second outbreak if happening will be of small-scale assuming contact tracing and quarantine/isolation remain as effective as before. Finally, we consider the effects of intermittent inflow with a Poisson distribution on the likelihood of multiple outbreaks. We believe the developed methodology and stochastic model provide an important model framework for the evaluation of revising travel restriction rules in the consideration of resuming social-economic activities while managing the disease control with potential case importation.","Coronaviruses are single-stranded RNA viruses, with a spherical shape and crown-like spines, from which their name derives. They generally cause mild respiratory infections but can sometimes be fatal. Since their first discovery and molecular characterization, three major spread out globally [2 ,6, 8, 11] , causing approximately 80,000 cases and 2,400 deaths as of February 22 nd 2020 [13] ."
Profiling the immune vulnerability landscape of the 2019 Novel Coronavirus,"The outbreak of the 2019 Novel Coronavirus (2019-nCoV) has rapidly spread from Wuhan, China to multiple countries, causing staggering number of infections and deaths. A systematic profiling of the immune vulnerability landscape of 2019-nCoV is lacking, which can bring critical insights into the immune clearance mechanism, peptide vaccine development, and antiviral antibody development. In this study, we predicted the potential of all the 2019-nCoV viral proteins to induce class I and II MHC presentation and form linear antibody epitopes. We showed that the enrichment for T cell and B cell epitopes is not uniform on the viral genome, with several focused regions that generate abundant epitopes and may be more targetable. We showed that genetic variations in 2019-nCoV, though fewer for the moment, already follow the pattern of mutations in related coronaviruses, and could alter the immune vulnerability landscape of this virus, which should be considered in the development of therapies. We create an online database to broadly share our research outcome. Overall, we present an immunological resource for 2019-nCoV that could significantly promote both therapeutic development and mechanistic research.","In December 2019, an outbreak of a novel coronavirus (2019-nCoV) was reported in Wuhan, China (1). 2019-nCoV rapidly spread to other regions of China, and multiple other countries, with a contagious speed that is much higher than the Severe Acute Respiratory Syndrome (SARS) coronavirus and the Middle East Respiratory Syndrome (MERS) coronavirus (2) . Despite the lower mortality rate of 2019-nCoV compared with SARS and MERS, the scale of the 2019-nCoV contagion has already caused more casualties than either of them, as of this writing. Early research into 2019-nCoV has mostly described its epidemiological features (1, 3), reported the possible curative effect of remdesivir (4) , and characterized its basic genomics features (5, 6) ."
Real-Time Estimation of the Risk of Death from Novel Coronavirus (COVID-19) Infection: Inference Using Exported Cases,"The exported cases of 2019 novel coronavirus infection that were confirmed outside of China provide an opportunity to estimate the cumulative incidence and confirmed case fatality risk (cCFR) in mainland China. Knowledge of the cCFR is critical to characterize the severity and understand the pandemic potential of COVID-19 in the early stage of the epidemic. Using the exponential growth rate of the incidence, the present study statistically estimated the cCFR and the basic reproduction number-the average number of secondary cases generated by a single primary case in a naïve population. We modeled epidemic growth either from a single index case with illness onset on 8 December, 2019 (Scenario 1), or using the growth rate fitted along with the other parameters (Scenario 2) based on data from 20 exported cases reported by 24 January, 2020. The cumulative incidence in China by 24 January was estimated at 6924 cases (95% CI: 4885, 9211) and 19,289 cases (95% CI: 10,901, 30,158), respectively. The latest estimated values of the cCFR were 5.3% (95% CI: 3.5%, 7.5%) for Scenario 1 and 8.4% (95% CI: 5.3%, 12.3%) for Scenario 2. The basic reproduction number was estimated to be 2.1 (95% CI: 2.0, 2.2) and 3.2 (95% CI: 2.7, 3.7) for Scenarios 1 and 2, respectively. Based on these results, we argued that the current COVID-19 epidemic has a substantial potential for causing a pandemic. The proposed approach provides insights in early risk assessment using publicly available data.","Since 8 December, 2019, clusters of pneumonia cases of unknown etiology have emerged in Wuhan City, Hubei Province, China [1, 2] . Virological investigation suggests that the causative agent of this pneumonia is a novel coronavirus (COVID-19) [3] . As of 27 January, 2020, a total of 4515 cases including 106 deaths were confirmed [4] . Forty-one cases of COVID-19 infections were also reported outside China, in other Asian countries, the United States, France, Australia, and Canada."
Potentially highly potent drugs for 2019-nCoV,"The World Health Organization (WHO) has declared the 2019 novel coronavirus (2019-nCoV) infection outbreak a global health emergency. Currently, there is no effective anti-2019-nCoV medication. The sequence identity of the 3CL proteases of 2019-nCoV and SARS is 96%, which provides a sound foundation for structural-based drug repositioning (SBDR). Based on a SARS 3CL protease X-ray crystal structure, we construct a 3D homology structure of 2019-nCoV 3CL protease. Based on this structure and existing experimental datasets for SARS 3CL protease inhibitors, we develop an SBDR model based on machine learning and mathematics to screen 1465 drugs in the DrugBank that have been approved by the U.S. Food and Drug Administration (FDA). We found that many FDA approved drugs are potentially highly potent to 2019-nCoV.","The 2019 novel coronavirus (2019-nCoV) caused the pneumonia outbreak in Wuhan, China, in late December 2019 and has rapidly spread around the world. By Feb 5, 2020, more than 24000 individuals were infected and more than 490 fatalities had been reported. The World Health Organization (WHO) has declared this novel coronavirus outbreak a global health emergency. Currently, there is no specific antiviral drug for this epidemic. Considering the severity of this widespread dissemination and health threats, panic patients misled by media flocked to the pharmacies for Chinese Medicine herbs which were reported to ""inhibit"" the 2019-nCoV, despite no clinical evidence supporting the claim. Many researchers are engaged in developing anti-2019-nCoV drug s [1, 2] . However, new drug discovery and development is a long, costly and rigorous scientific process. A more effective approach is to search for anti-2019-nCoV therapies from the existing FDA-approved drug database."
